CLOSEST_DEF, SHOT_DIST
2.5,8
3,25.9
6.4,29.3
4.8,25.1
2.4,9.4
6,25.5
5.4,24.5
3.7,23.6
3.6,23.9
0.3,6.6
4.1,23.2
3.7,15.6
4.4,24.6
1.9,25.7
3.6,9.3
2.7,23.8
12.5,25
7.1,25
1.8,3.3
3.8,24.5
0.4,22.8
4.8,24.6
4.1,23.1
2.1,4.1
5.2,23.2
5.6,24.4
3.5,19.8
3.4,3.3
3.5,20.9
1.1,10.5
6.8,28.5
4.9,25.4
4,25.5
3.8,22.5
3.6,25
4.1,8.5
2.6,19.7
7.7,25.5
3.7,7.4
4.4,18.8
0.4,4
5.8,26.6
5.5,24.6
2.1,22.1
2.3,0.9
3,25.1
4.9,28.5
2.3,8.3
5.4,24.5
3,22.2
0.2,23.8
4.5,18.7
1,5.4
4.2,24.9
6.2,25.3
4.6,3.1
7.3,21
4.1,23.2
0.5,4.2
3.6,25.2
6.5,24.9
2.3,24.9
6.6,22.7
7.9,17.8
5.3,12.3
6.1,20.2
7.2,29.1
4.6,24.7
3.9,27
2.2,5
1.7,19.8
6.7,22.4
4.4,23
10.1,24.1
5,21.6
9.2,25.1
6.3,18.2
5.1,24.1
2.8,2.9
6.4,4.9
7.4,26.9
2.6,11.8
3.4,22.4
0.4,28.6
5.7,26.6
5.2,22.9
1.6,27.6
4.4,21.8
3.7,27.2
1.9,3.6
0.4,1.6
5.7,8.3
0.2,3.3
4.3,25.2
5.3,23.1
5.7,27.9
2.4,7.4
6.4,24.9
1.5,22.7
5.1,24.3
4.4,29.7
3.6,2.3
5.9,10.6
2.9,24.8
4.4,27.5
4,7.2
4,8.6
3.5,23.8
0.3,19.9
1.8,2.9
4.6,28.3
5.9,25.5
5.3,24.7
4.6,22.6
4.4,16.7
5,22.5
9.5,27.6
6.9,26.4
2.1,1
3.9,9.6
4,26.6
9.1,42.7
6.3,24.6
3.4,1.9
3,24
2.3,7.7
2.2,7.8
5.8,24.3
0.7,4.8
6.6,26.5
4.3,20.7
2.7,24.8
6,26.6
3.1,28.3
1.4,3.5
5.3,19.9
5.3,28.2
3.8,21.2
1.9,6.9
3.4,19.3
2.3,27.2
1,10.2
6.8,23.9
4.6,19.3
0.9,6.6
10.4,31.3
4.6,24.9
1.7,23.1
2.2,16
2,1.9
5.2,19.1
8.5,25.5
2.1,22.3
5.7,24.4
3.2,25.7
6,24.8
2.5,1.9
3.3,22.3
6.6,24.8
4.3,21.7
8.3,25.7
4.9,20.7
1.8,4.8
2.2,4.9
5.6,26.2
8,24.7
2.5,7.2
8.6,24.8
2.4,24.2
2.7,27.7
2.9,9.9
7,17.5
11.2,32.2
3.9,0.8
5,27.1
4.7,24.4
5.5,11.6
2.9,1.4
3.6,25.1
2.7,33.7
3.3,2.6
5.3,11.6
4.5,25.3
5.1,19.1
3.1,25.9
3.8,25.2
3.4,24.5
4.1,24.4
3.5,22.3
3.5,12.2
4.9,24.6
4.9,1.3
5.4,26.2
1.7,4.5
5.1,26.8
8.6,24.9
5.7,25.4
4.3,21.6
2.1,22.4
2.1,2.5
4.6,24.9
2,7.5
5,23.2
4.2,21.8
6.7,10.7
2,16.4
9.1,24.5
6.3,24.5
5.1,24.5
4.3,26.2
5,21
4.3,22.7
0.7,7.2
5.3,24.4
6.6,24.9
8.3,27.2
3.2,0.7
6,25
2.3,3.7
9.2,24.8
7.5,23.4
4.3,14.3
1.5,9.1
1.6,25.5
5.4,25.8
3.5,22.5
9.1,24.6
4.1,7
2.5,24.9
4,22.8
3.6,18.1
4.6,4.4
7.6,24.5
6.9,25.1
5.1,12.7
5.8,26
2.2,2.7
3.8,27.5
3.6,26.1
1.2,23.4
4.6,25
4.8,25.4
5.4,25.2
5.5,15.4
7,24.9
6.8,24.7
2,27.7
5.9,25.1
3.5,17
5.4,42.5
4,2.4
10.1,24.7
8.8,24.6
4,16.6
4.5,24.8
5,6.2
2.2,25.7
5.1,26.2
3.4,24.7
2.1,6
0.9,16.5
0.7,24.8
1.8,22.1
2.9,26.3
4.8,26.3
4.2,11.9
6.3,28.7
13.6,26.6
3.2,6.1
5.4,1.4
4.5,24.3
6.9,19.9
4.2,24
5.4,21.3
3.5,24.3
5.2,16.9
6.7,25.7
5.2,29.3
2.5,26.2
2.5,8.5
4.4,19.3
5.1,24.2
4.6,22.9
4.4,27.4
5.5,29.9
3.9,18.4
3.1,25.7
2.6,23.5
7.4,25
4.9,1
3.4,25.8
4,21
3.7,3.6
2.7,24.4
2.4,8.6
3.8,26
2.9,22
3.5,2.4
3.3,27.2
9.2,29.4
2.4,2
3.6,24
1.9,7.7
3.2,19.6
5.3,28.5
4.6,20
2.5,26.6
6.9,25.1
0.5,6.9
3.1,6.7
9.5,25.5
5.7,25.8
1.7,8.6
4.8,24.4
13.5,23
3.4,24.4
6.8,26.1
6,21.4
4,26.4
7.1,19.1
8,25.3
2.4,17.7
2.9,7.3
13.5,27.3
3,25.5
1.8,4.4
3.7,19.1
4.9,19
6.5,24.2
2,1.7
5.1,25.7
3.6,16.6
2.8,6.1
8.8,26.4
21.8,26
5,25.3
2,5.1
5.8,24
8.8,24.6
5.1,23.2
2.9,24.9
4.8,19.7
1.7,11.9
2,8.8
1.3,9.1
5.8,26.7
6.2,19.7
10.1,23.2
6.9,25.6
5.1,11.1
1.1,3.8
3.7,8.7
6.2,12
6,24.6
6.2,25
2.4,3.4
0,8.1
5.6,24.2
3.7,23.2
6.7,24
4.3,8
3.6,19.5
1.8,5.8
4.6,26.4
2.7,24.2
0.2,23.4
3.6,24.7
4.5,26.3
3.4,4.4
2.3,21.7
8.4,24.2
4,26.1
7,26.3
0.8,7.3
3.8,25
3.5,25.9
2.6,24.2
3.7,10.6
5.6,22.8
15.1,25.1
2.8,23.8
6,24.3
3.3,6.8
2.5,13.8
8.3,27.3
4,24.7
5,29.3
3.3,14.5
5.4,22.4
2.2,2
8.9,24.8
4.7,24.7
3.8,5.5
4.8,23.9
3.5,24.6
3.5,5
1.5,2.2
6.9,15.9
2.6,4.7
5.6,24.3
4.6,12.9
4.4,24.3
4.4,23.1
9.7,26.5
3.2,16.7
5.5,24.6
1.3,21.8
4.2,24.4
6.2,24
4.3,23.8
1.9,11.8
3.7,21.7
3.3,5.5
4.5,24.2
2.9,9.7
3.1,25.5
3.3,25.2
4.6,37.8
5.1,25
5.7,24.6
3.1,24.4
0,6
2.5,16.3
3.8,18.3
2,18.9
2.3,22.1
2.9,14.8
5.3,27.2
4.9,24.8
4.7,22.3
4.9,26.1
3.7,25.1
2.7,5.1
13,23
8.6,22
8.3,25.8
8.3,24.3
0.5,3.9
1.8,8.3
0.5,24.9
1.6,17
3.8,30.3
3.7,27.8
5.9,21.9
7.9,25.3
7.5,7.4
2,24
11.8,24.4
4.1,18.8
3.2,24.7
4,25
2.8,21.7
2.1,16.7
4.7,27.3
3,3.4
3.3,21.2
4.3,25
4.3,25.7
3.2,24.3
3.3,6.6
5.6,11.6
5,26.2
3.9,22.8
3.8,20.2
6.2,11.6
3.1,4.5
6.1,25.5
1.4,17.1
3.1,27.5
3.8,20.2
6.3,21
2.7,6.1
7.4,21.7
1.9,2.3
3,24.3
6,25.8
5.2,22.6
3.7,5.7
2.9,20.9
1.8,7.1
4.1,24.2
2.7,10
6.1,25.8
1.5,13.9
6.1,24.5
2.5,2.3
1.7,24.6
12.3,24.6
4.1,24.2
5.4,27.8
4.7,11.4
3.5,6.2
2.7,23.3
7.1,27.4
0.8,2.9
2.5,24.9
1.3,23.4
3.3,25.6